"Indicator","Market","Destination","Units","2019"
"Visitor arrivals","Alabama","Oahu","persons","15,942"
"Visitor arrivals","Alabama","Kauai","persons","3,741"
"Visitor arrivals","Alabama","Maui Island","persons","7,171"
"Visitor arrivals","Alabama","Molokai","persons","175"
"Visitor arrivals","Alabama","Lanai","persons","275"
"Visitor arrivals","Alabama","Hilo","persons","2,064"
"Visitor arrivals","Alabama","Kona","persons","4,153"
"Visitor arrivals","Alaska","Oahu","persons","45,924"
"Visitor arrivals","Alaska","Kauai","persons","9,880"
"Visitor arrivals","Alaska","Maui Island","persons","23,875"
"Visitor arrivals","Alaska","Molokai","persons","1,313"
"Visitor arrivals","Alaska","Lanai","persons","397"
"Visitor arrivals","Alaska","Hilo","persons","5,887"
"Visitor arrivals","Alaska","Kona","persons","20,806"
"Visitor arrivals","Arizona","Oahu","persons","97,894"
"Visitor arrivals","Arizona","Kauai","persons","38,590"
"Visitor arrivals","Arizona","Maui Island","persons","83,650"
"Visitor arrivals","Arizona","Molokai","persons","1,308"
"Visitor arrivals","Arizona","Lanai","persons","1,948"
"Visitor arrivals","Arizona","Hilo","persons","12,079"
"Visitor arrivals","Arizona","Kona","persons","33,312"
"Visitor arrivals","Arkansas","Oahu","persons","9,840"
"Visitor arrivals","Arkansas","Kauai","persons","2,867"
"Visitor arrivals","Arkansas","Maui Island","persons","5,967"
"Visitor arrivals","Arkansas","Molokai","persons","108"
"Visitor arrivals","Arkansas","Lanai","persons","202"
"Visitor arrivals","Arkansas","Hilo","persons","1,433"
"Visitor arrivals","Arkansas","Kona","persons","3,114"
"Visitor arrivals","California","Oahu","persons","1,163,895"
"Visitor arrivals","California","Kauai","persons","400,469"
"Visitor arrivals","California","Maui Island","persons","937,109"
"Visitor arrivals","California","Molokai","persons","11,691"
"Visitor arrivals","California","Lanai","persons","17,489"
"Visitor arrivals","California","Hilo","persons","116,775"
"Visitor arrivals","California","Kona","persons","379,490"
"Visitor arrivals","Colorado","Oahu","persons","78,552"
"Visitor arrivals","Colorado","Kauai","persons","43,832"
"Visitor arrivals","Colorado","Maui Island","persons","78,122"
"Visitor arrivals","Colorado","Molokai","persons","1,364"
"Visitor arrivals","Colorado","Lanai","persons","1,685"
"Visitor arrivals","Colorado","Hilo","persons","12,650"
"Visitor arrivals","Colorado","Kona","persons","37,598"
"Visitor arrivals","Connecticut","Oahu","persons","15,853"
"Visitor arrivals","Connecticut","Kauai","persons","5,643"
"Visitor arrivals","Connecticut","Maui Island","persons","10,841"
"Visitor arrivals","Connecticut","Molokai","persons","195"
"Visitor arrivals","Connecticut","Lanai","persons","353"
"Visitor arrivals","Connecticut","Hilo","persons","2,389"
"Visitor arrivals","Connecticut","Kona","persons","5,697"
"Visitor arrivals","Delaware","Oahu","persons","3,812"
"Visitor arrivals","Delaware","Kauai","persons","1,190"
"Visitor arrivals","Delaware","Maui Island","persons","2,464"
"Visitor arrivals","Delaware","Molokai","persons","48"
"Visitor arrivals","Delaware","Lanai","persons","73"
"Visitor arrivals","Delaware","Hilo","persons","610"
"Visitor arrivals","Delaware","Kona","persons","1,361"
"Visitor arrivals","Florida","Oahu","persons","87,144"
"Visitor arrivals","Florida","Kauai","persons","25,198"
"Visitor arrivals","Florida","Maui Island","persons","47,997"
"Visitor arrivals","Florida","Molokai","persons","1,082"
"Visitor arrivals","Florida","Lanai","persons","1,722"
"Visitor arrivals","Florida","Hilo","persons","13,545"
"Visitor arrivals","Florida","Kona","persons","27,992"
"Visitor arrivals","Georgia","Oahu","persons","48,902"
"Visitor arrivals","Georgia","Kauai","persons","12,543"
"Visitor arrivals","Georgia","Maui Island","persons","26,333"
"Visitor arrivals","Georgia","Molokai","persons","601"
"Visitor arrivals","Georgia","Lanai","persons","984"
"Visitor arrivals","Georgia","Hilo","persons","5,831"
"Visitor arrivals","Georgia","Kona","persons","13,708"
"Visitor arrivals","Idaho","Oahu","persons","26,071"
"Visitor arrivals","Idaho","Kauai","persons","14,556"
"Visitor arrivals","Idaho","Maui Island","persons","25,090"
"Visitor arrivals","Idaho","Molokai","persons","491"
"Visitor arrivals","Idaho","Lanai","persons","519"
"Visitor arrivals","Idaho","Hilo","persons","3,576"
"Visitor arrivals","Idaho","Kona","persons","12,336"
"Visitor arrivals","Illinois","Oahu","persons","77,118"
"Visitor arrivals","Illinois","Kauai","persons","28,520"
"Visitor arrivals","Illinois","Maui Island","persons","69,908"
"Visitor arrivals","Illinois","Molokai","persons","1,080"
"Visitor arrivals","Illinois","Lanai","persons","1,808"
"Visitor arrivals","Illinois","Hilo","persons","10,761"
"Visitor arrivals","Illinois","Kona","persons","26,429"
"Visitor arrivals","Indiana","Oahu","persons","26,671"
"Visitor arrivals","Indiana","Kauai","persons","10,015"
"Visitor arrivals","Indiana","Maui Island","persons","20,808"
"Visitor arrivals","Indiana","Molokai","persons","403"
"Visitor arrivals","Indiana","Lanai","persons","524"
"Visitor arrivals","Indiana","Hilo","persons","4,139"
"Visitor arrivals","Indiana","Kona","persons","8,872"
"Visitor arrivals","Iowa","Oahu","persons","15,116"
"Visitor arrivals","Iowa","Kauai","persons","6,307"
"Visitor arrivals","Iowa","Maui Island","persons","12,240"
"Visitor arrivals","Iowa","Molokai","persons","179"
"Visitor arrivals","Iowa","Lanai","persons","345"
"Visitor arrivals","Iowa","Hilo","persons","2,327"
"Visitor arrivals","Iowa","Kona","persons","5,817"
"Visitor arrivals","Kansas","Oahu","persons","15,779"
"Visitor arrivals","Kansas","Kauai","persons","5,860"
"Visitor arrivals","Kansas","Maui Island","persons","13,250"
"Visitor arrivals","Kansas","Molokai","persons","235"
"Visitor arrivals","Kansas","Lanai","persons","317"
"Visitor arrivals","Kansas","Hilo","persons","2,288"
"Visitor arrivals","Kansas","Kona","persons","5,466"
"Visitor arrivals","Kentucky","Oahu","persons","14,283"
"Visitor arrivals","Kentucky","Kauai","persons","4,178"
"Visitor arrivals","Kentucky","Maui Island","persons","9,255"
"Visitor arrivals","Kentucky","Molokai","persons","176"
"Visitor arrivals","Kentucky","Lanai","persons","263"
"Visitor arrivals","Kentucky","Hilo","persons","2,002"
"Visitor arrivals","Kentucky","Kona","persons","4,258"
"Visitor arrivals","Louisiana","Oahu","persons","13,290"
"Visitor arrivals","Louisiana","Kauai","persons","3,771"
"Visitor arrivals","Louisiana","Maui Island","persons","7,779"
"Visitor arrivals","Louisiana","Molokai","persons","168"
"Visitor arrivals","Louisiana","Lanai","persons","259"
"Visitor arrivals","Louisiana","Hilo","persons","2,042"
"Visitor arrivals","Louisiana","Kona","persons","4,174"
"Visitor arrivals","Maine","Oahu","persons","5,513"
"Visitor arrivals","Maine","Kauai","persons","1,809"
"Visitor arrivals","Maine","Maui Island","persons","3,098"
"Visitor arrivals","Maine","Molokai","persons","76"
"Visitor arrivals","Maine","Lanai","persons","91"
"Visitor arrivals","Maine","Hilo","persons","925"
"Visitor arrivals","Maine","Kona","persons","1,730"
"Visitor arrivals","Maryland","Oahu","persons","41,913"
"Visitor arrivals","Maryland","Kauai","persons","9,901"
"Visitor arrivals","Maryland","Maui Island","persons","19,740"
"Visitor arrivals","Maryland","Molokai","persons","444"
"Visitor arrivals","Maryland","Lanai","persons","561"
"Visitor arrivals","Maryland","Hilo","persons","5,085"
"Visitor arrivals","Maryland","Kona","persons","11,024"
"Visitor arrivals","Massachusetts","Oahu","persons","41,673"
"Visitor arrivals","Massachusetts","Kauai","persons","14,513"
"Visitor arrivals","Massachusetts","Maui Island","persons","27,681"
"Visitor arrivals","Massachusetts","Molokai","persons","508"
"Visitor arrivals","Massachusetts","Lanai","persons","779"
"Visitor arrivals","Massachusetts","Hilo","persons","6,067"
"Visitor arrivals","Massachusetts","Kona","persons","13,545"
"Visitor arrivals","Michigan","Oahu","persons","41,523"
"Visitor arrivals","Michigan","Kauai","persons","17,056"
"Visitor arrivals","Michigan","Maui Island","persons","34,584"
"Visitor arrivals","Michigan","Molokai","persons","684"
"Visitor arrivals","Michigan","Lanai","persons","877"
"Visitor arrivals","Michigan","Hilo","persons","6,723"
"Visitor arrivals","Michigan","Kona","persons","16,069"
"Visitor arrivals","Minnesota","Oahu","persons","48,025"
"Visitor arrivals","Minnesota","Kauai","persons","19,682"
"Visitor arrivals","Minnesota","Maui Island","persons","38,862"
"Visitor arrivals","Minnesota","Molokai","persons","566"
"Visitor arrivals","Minnesota","Lanai","persons","851"
"Visitor arrivals","Minnesota","Hilo","persons","7,197"
"Visitor arrivals","Minnesota","Kona","persons","19,199"
"Visitor arrivals","Mississippi","Oahu","persons","6,676"
"Visitor arrivals","Mississippi","Kauai","persons","1,402"
"Visitor arrivals","Mississippi","Maui Island","persons","3,206"
"Visitor arrivals","Mississippi","Molokai","persons","65"
"Visitor arrivals","Mississippi","Lanai","persons","111"
"Visitor arrivals","Mississippi","Hilo","persons","775"
"Visitor arrivals","Mississippi","Kona","persons","1,720"
"Visitor arrivals","Missouri","Oahu","persons","30,921"
"Visitor arrivals","Missouri","Kauai","persons","11,596"
"Visitor arrivals","Missouri","Maui Island","persons","22,882"
"Visitor arrivals","Missouri","Molokai","persons","415"
"Visitor arrivals","Missouri","Lanai","persons","709"
"Visitor arrivals","Missouri","Hilo","persons","4,562"
"Visitor arrivals","Missouri","Kona","persons","10,328"
"Visitor arrivals","Montana","Oahu","persons","10,440"
"Visitor arrivals","Montana","Kauai","persons","7,158"
"Visitor arrivals","Montana","Maui Island","persons","11,457"
"Visitor arrivals","Montana","Molokai","persons","306"
"Visitor arrivals","Montana","Lanai","persons","236"
"Visitor arrivals","Montana","Hilo","persons","1,891"
"Visitor arrivals","Montana","Kona","persons","6,662"
"Visitor arrivals","N. Carolina","Oahu","persons","38,943"
"Visitor arrivals","N. Carolina","Kauai","persons","11,631"
"Visitor arrivals","N. Carolina","Maui Island","persons","22,933"
"Visitor arrivals","N. Carolina","Molokai","persons","459"
"Visitor arrivals","N. Carolina","Lanai","persons","831"
"Visitor arrivals","N. Carolina","Hilo","persons","5,921"
