"Indicator","Market","Destination","Units","2016","2017","2018","2019","2020","2021"
"Visitor arrivals","Alabama","Statewide","persons","21,021","21,454","23,702","24,139","6,278","20,169"
"Visitor arrivals","Alaska","Statewide","persons","81,644","80,950","88,336","93,249","42,574","76,061"
"Visitor arrivals","Arizona","Statewide","persons","175,945","179,898","195,487","220,549","65,780","243,865"
"Visitor arrivals","Arkansas","Statewide","persons","14,120","15,080","16,362","17,435","4,225","15,931"
"Visitor arrivals","California","Statewide","persons","2,095,908","2,176,869","2,357,641","2,637,893","655,937","2,658,097"
"Visitor arrivals","Colorado","Statewide","persons","154,498","168,368","189,349","205,036","63,123","211,271"
"Visitor arrivals","Connecticut","Statewide","persons","26,756","26,834","27,633","27,816","7,471","25,471"
"Visitor arrivals","Delaware","Statewide","persons","5,269","5,970","6,337","6,513","1,898","5,474"
"Visitor arrivals","Florida","Statewide","persons","114,345","123,552","130,990","138,005","39,975","146,875"
"Visitor arrivals","Georgia","Statewide","persons","65,628","70,431","74,899","77,996","19,755","77,040"
"Visitor arrivals","Idaho","Statewide","persons","49,040","54,234","61,826","70,826","25,129","66,524"
"Visitor arrivals","Illinois","Statewide","persons","136,783","140,814","147,915","157,541","48,764","151,398"
"Visitor arrivals","Indiana","Statewide","persons","41,097","44,257","48,685","50,724","14,787","43,505"
"Visitor arrivals","Iowa","Statewide","persons","25,266","27,678","31,336","30,848","14,037","24,167"
"Visitor arrivals","Kansas","Statewide","persons","25,007","27,135","28,407","32,666","10,814","28,847"
"Visitor arrivals","Kentucky","Statewide","persons","19,431","21,036","22,985","24,316","6,610","21,562"
"Visitor arrivals","Louisiana","Statewide","persons","18,227","19,159","21,190","22,066","5,787","21,189"
"Visitor arrivals","Maine","Statewide","persons","8,123","8,586","9,183","9,696","3,514","7,169"
"Visitor arrivals","Maryland","Statewide","persons","50,995","55,278","60,301","63,520","15,636","52,278"
"Visitor arrivals","Massachusetts","Statewide","persons","58,487","63,727","65,648","72,311","22,434","69,086"
"Visitor arrivals","Michigan","Statewide","persons","67,845","73,507","80,578","82,689","28,243","69,476"
"Visitor arrivals","Minnesota","Statewide","persons","81,029","87,168","95,876","102,222","47,525","74,338"
"Visitor arrivals","Mississippi","Statewide","persons","8,433","8,765","9,379","10,387","2,740","8,883"
"Visitor arrivals","Missouri","Statewide","persons","46,433","49,858","53,585","59,424","18,117","52,567"
"Visitor arrivals","Montana","Statewide","persons","26,037","27,177","30,128","32,365","13,981","23,237"
"Visitor arrivals","N. Carolina","Statewide","persons","52,078","57,778","64,800","65,429","17,743","63,086"
"Visitor arrivals","N. Dakota","Statewide","persons","8,041","7,962","8,672","9,541","4,361","5,587"
"Visitor arrivals","Nebraska","Statewide","persons","19,122","20,071","21,888","23,312","8,818","18,851"
"Visitor arrivals","Nevada","Statewide","persons","99,633","103,167","110,222","128,742","42,050","143,544"
"Visitor arrivals","New Hampshire","Statewide","persons","10,142","10,998","11,241","11,972","4,481","8,990"
"Visitor arrivals","New Jersey","Statewide","persons","72,318","76,591","78,247","81,214","20,276","76,025"
"Visitor arrivals","New Mexico","Statewide","persons","25,700","27,007","29,282","34,054","8,962","32,048"
"Visitor arrivals","New York","Statewide","persons","137,307","147,617","147,288","154,937","46,188","140,283"
"Visitor arrivals","Ohio","Statewide","persons","69,642","73,164","82,028","82,682","23,412","68,689"
"Visitor arrivals","Oklahoma","Statewide","persons","27,554","28,746","32,172","34,490","9,436","32,986"
"Visitor arrivals","Oregon","Statewide","persons","223,210","238,825","265,168","281,280","88,907","238,802"
"Visitor arrivals","Pennsylvania","Statewide","persons","71,528","74,292","77,682","79,245","21,309","64,176"
"Visitor arrivals","Rhode Island","Statewide","persons","6,361","6,772","7,289","7,169","2,114","6,812"
"Visitor arrivals","S. Carolina","Statewide","persons","22,743","24,320","27,480","28,110","7,832","25,455"
