"Indicator","Market","Destination","Units","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Visitor arrivals","Alabama","Oahu","persons","12,157","12,931","11,249","17,515","16,552","15,738","17,158","16,241","16,588","14,572","12,899","13,112","12,742","13,344","12,011","12,009","12,553","13,566","14,332","15,411","15,942","4,269","13,023"
"Visitor arrivals","Alabama","Kauai","persons","4,192","3,604","3,218","3,562","3,398","3,516","4,196","4,874","5,759","4,229","3,684","3,581","3,632","3,451","3,099","2,918","3,316","3,634","3,936","4,436","3,741","940","1,996"
"Visitor arrivals","Alabama","Maui Island","persons","8,317","7,335","5,893","7,809","7,699","6,981","8,085","8,315","8,271","6,543","5,309","5,700","5,695","5,708","5,257","5,058","5,388","6,523","6,260","7,071","7,171","1,571","5,397"
"Visitor arrivals","Alabama","Molokai","persons","366","270","222","246","380","282","341","294","314","218","167","206","176","164","148","205","176","163","174","172","175","46",""
"Visitor arrivals","Alabama","Lanai","persons","584","454","353","323","417","319","393","335","429","352","256","290","357","289","261","237","212","219","247","262","275","66",""
"Visitor arrivals","Alabama","Hilo","persons","2,005","1,770","1,565","2,210","2,480","2,076","2,848","3,194","3,573","2,326","1,862","2,057","1,878","1,928","1,705","1,647","1,843","1,956","2,212","1,976","2,064","521",""
"Visitor arrivals","Alabama","Kona","persons","3,926","3,991","3,058","3,365","3,079","3,485","4,457","4,943","4,982","3,856","3,237","3,477","3,304","3,338","3,221","3,241","3,115","3,857","3,890","3,950","4,153","856",""
"Visitor arrivals","Alaska","Oahu","persons","22,001","24,205","23,765","24,341","20,442","18,732","19,681","20,405","24,949","33,530","32,532","38,549","44,039","42,305","40,030","36,110","37,574","38,226","39,131","44,442","45,924","16,973","31,873"
"Visitor arrivals","Alaska","Kauai","persons","6,691","6,144","6,386","5,805","5,319","4,738","4,827","5,477","7,000","9,291","8,888","9,140","10,368","10,216","9,781","9,657","10,043","9,925","9,789","10,018","9,880","4,189","4,640"
"Visitor arrivals","Alaska","Maui Island","persons","13,397","12,178","11,360","11,196","11,230","12,002","13,710","13,506","14,747","16,103","23,219","20,763","22,658","22,474","22,290","21,576","22,386","22,357","21,925","21,538","23,875","12,371","23,958"
"Visitor arrivals","Alaska","Molokai","persons","856","961","907","712","828","729","691","789","956","1,049","1,026","982","1,265","1,094","1,016","1,032","1,189","1,194","1,078","1,219","1,313","638",""
"Visitor arrivals","Alaska","Lanai","persons","315","590","261","280","325","302","284","261","377","490","492","535","658","541","516","475","526","502","360","434","397","178",""
"Visitor arrivals","Alaska","Hilo","persons","3,037","2,795","2,806","2,659","2,767","2,687","3,055","3,274","3,860","3,923","4,394","4,334","5,018","4,732","4,919","4,991","5,495","5,496","5,445","5,695","5,887","2,918",""
"Visitor arrivals","Alaska","Kona","persons","8,410","8,487","7,682","7,938","7,579","7,141","7,261","8,109","9,934","10,236","12,083","13,081","14,960","15,618","15,668","16,831","18,055","18,855","18,167","19,657","20,806","11,402",""
"Visitor arrivals","Arizona","Oahu","persons","47,152","49,605","50,690","56,173","60,058","59,163","71,300","90,696","88,701","69,253","64,650","70,264","69,945","73,177","80,664","75,130","77,022","79,462","81,045","83,442","97,894","30,054","110,057"
