"Group","Indicator","Units","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Oahu visitors","Avg. age of party head","number","","","","","","","","","","","","","","","43.9","43.6","44.2","44.1","44.3","44.5","44.4","44.0",""
"Oahu visitors","First timer (%)","percent","46.0","46.4","44.0","43.0","43.0","43.3","43.0","42.3","41.4","41.2","40.3","40.3","40.9","42.2","41.8","42.4","41.7","41.7","40.9","39.7","38.1","34.8","36.7"
"Oahu visitors","Repeaters (%)","percent","54.0","53.6","56.0","57.0","57.0","56.7","57.0","57.7","58.6","58.8","59.7","59.7","59.1","57.8","58.2","57.6","58.3","58.3","59.1","60.3","61.9","65.2","63.3"
"Oahu visitors","Purpose: Pleasure-net (%)","percent","80.2","79.6","78.6","80.2","79.4","80.9","78.8","78.8","79.7","78.5","80.0","78.6","79.2","80.7","81.0","80.8","80.3","80.3","81.2","81.4","81.8","74.8","81.4"
"Oahu visitors","Accom: Hotel only (%)","percent","70.2","72.0","69.2","69.1","68.0","69.6","68.2","64.8","62.5","64.7","64.9","65.8","65.9","66.9","66.6","67.0","65.0","64.7","63.0","61.4","61.0","55.4","57.1"
"Oahu visitors","Purpose: Vacation (%)","percent","","","","","","70.2","70.1","71.3","72.1","70.3","71.0","70.0","70.1","71.5","72.1","71.3","71.7","71.6","73.5","74.6","75.5","70.6","78.2"
"Oahu visitors","Accom: Condo (%)","percent","12.3","10.3","10.1","9.8","10.5","9.4","9.2","9.3","10.0","10.4","9.9","9.9","10.4","9.9","10.6","10.0","10.4","10.3","10.4","10.5","10.1","10.7","10.3"
"Oahu visitors","Purpose: Honeymoon/Get married (%)","percent","","","8.7","12.7","12.0","12.0","","","","","","","","","","","9.4","9.3","8.4","7.4","6.9","4.7","3.9"
"Oahu visitors","Accom: Condo only (%)","percent","9.3","7.5","7.5","6.4","6.4","5.7","5.6","5.6","6.1","6.5","6.3","6.5","6.8","6.4","6.8","6.5","6.9","6.7","6.8","6.8","6.8","7.3","7.2"
"Oahu visitors","Purpose: Honeymoon (%)","percent","11.0","10.3","","","","7.7","8.2","7.1","7.4","8.0","8.9","8.6","9.0","9.2","8.9","9.6","8.6","8.6","7.7","6.8","6.3","4.2","3.4"
"Oahu visitors","Accom: Timeshare (%)","percent","","2.7","3.5","3.4","3.6","3.6","3.7","4.5","5.1","5.6","6.3","5.9","5.8","6.0","5.8","5.7","5.9","5.7","5.9","5.5","5.3","5.1","6.7"
"Oahu visitors","Purpose: Get married (%)","percent","","","","","","","2.6","2.4","2.2","2.1","2.1","2.0","2.0","1.9","1.7","1.6","1.4","1.3","1.2","1.2","1.1","0.8","0.7"
"Oahu visitors","Accom: Timeshare only (%)","percent","","1.8","2.3","2.0","1.9","2.0","2.0","2.7","3.1","3.5","4.0","3.8","3.8","4.0","4.0","3.8","4.1","4.0","4.1","3.8","3.8","3.6","5.1"
"Oahu visitors","Purpose: MCI-net (%)","percent","5.7","7.0","5.4","5.7","6.9","6.0","7.7","7.1","6.1","6.1","5.7","5.1","5.3","4.9","5.0","5.4","5.8","5.4","5.1","4.9","4.6","4.6","1.0"
"Oahu visitors","Accom: Rental house (%)","percent","","","","","2.0","2.2","2.5","2.8","3.1","3.4","3.3","3.4","3.7","3.9","4.5","5.0","5.7","6.1","6.7","8.1","8.6","8.3","8.8"
"Oahu visitors","Purpose: Conventions (%)","percent","3.6","4.6","3.2","3.6","4.5","3.8","5.2","4.2","3.5","3.6","4.0","3.2","3.3","2.9","2.6","2.9","2.9","2.3","2.4","2.4","2.2","2.4","0.3"
