Time,Visitors,size,age,ISL,Firsttimer,LOS,Hotel,Vacation,Honeymoon,MCI,BB,Friends
2018/1/1,483411,1.9,48.3,1.2,22.8,10.7,52.2,77.5,3.2,7.5,1.5,10.4
2018/2/1,469341,2,48.2,1.2,24.6,9.5,53.3,79.5,2.9,7.4,1.5,10.8
2018/3/1,577943,2.2,46.9,1.2,26.2,8.8,54.4,82.3,2.5,4.6,1.1,9.9
2018/4/1,505133,2,46.8,1.2,27.4,8.7,53.7,79.6,3.8,6.5,1.3,9.4
2018/5/1,531413,2,45,1.2,30.6,9,52.2,77.7,4.5,5.1,1.3,11.7
2018/6/1,632603,2.4,45.4,1.2,29.2,9.6,51.8,82.1,3.7,2.8,0.9,9.9
2018/7/1,649500,2.5,45.2,1.2,27.5,9.3,52.7,82.6,3.5,3.1,0.9,10.6
2018/8/1,535041,2.2,44.5,1.2,28.4,8.8,54.6,80.3,4.6,1.8,1,10.6
2018/9/1,432115,1.9,46.5,1.2,29.3,9.1,52.7,75.9,6.2,4,1.2,10.4
2018/10/1,478432,1.9,47.4,1.2,26.4,9,53.1,73.8,5.6,8.7,1.1,10.4
2018/11/1,502362,2,46.8,1.2,23.4,8.8,53.7,78.6,3.7,4,1.1,11.2
2018/12/1,580059,2.2,45.8,1.2,23.8,9.7,50,81.7,2.7,1.7,1.2,13.3
2019/1/1,502908,1.9,48,1.2,23.2,10.4,51.3,76.8,2.8,8,1.4,10.9
2019/2/1,489011,2,47.8,1.2,24.3,9.2,52,78.6,2.8,7.5,1.4,10.7
2019/3/1,624697,2.2,45.8,1.2,26,8.5,53.7,81.8,2.3,5.1,1.2,9.9
2019/4/1,547688,2.2,46.1,1.2,26.1,8.4,54.6,81,3.1,4.6,1.1,9.8
2019/5/1,587188,2.1,44.7,1.2,30.4,8.7,52,78.2,4.1,4.2,1.3,11.6
2019/6/1,693181,2.5,45.1,1.2,29.2,9.2,52.2,83.3,3.4,2.6,0.9,9.7
2019/7/1,706174,2.5,45.2,1.2,27.8,9.1,53,83.2,3.3,2.7,1,10.3
2019/8/1,620409,2.3,44.3,1.2,29.3,8.5,55.3,82.2,3.9,2.5,1.1,9.5
2019/9/1,438993,1.9,46.2,1.2,29.1,8.8,53.8,76.9,6.2,3.8,1.3,9.7
2019/10/1,502082,2,47,1.2,27.1,8.8,53.1,76.5,5.4,5.3,1.3,10.3
2019/11/1,525630,2.1,46.6,1.2,24.1,8.6,54.3,79.5,3.6,4.9,1.1,10.8
2019/12/1,633878,2.2,45.8,1.2,23.2,9.6,51.2,81.5,2.6,2.1,1.3,13.1
2020/1/1,553930,2,47.9,1.2,23.5,10.1,52.9,77.4,2.9,7.6,1.6,10.4
2020/2/1,546820,2,47.7,1.2,24.1,9,53.4,79.5,2.9,6.4,1.4,10.8
2020/3/1,324549,2,44.3,1.2,27.4,9.1,50,79.4,2.8,4,1.2,12.7
2020/4/1,4453,1.2,39,1.1,18.9,26.5,34.8,8,0.9,2.4,0.7,35.3
2020/5/1,9334,1.3,39,1,17.9,28.2,19.4,9.7,0.9,0.7,0.6,50.8
2020/6/1,16198,1.4,39.5,1.1,18.6,27,18.7,13.9,0.5,0.6,0.3,57.7
2020/7/1,20261,1.4,40.4,1.1,20.7,24.6,22,14.8,0.7,0.5,0.3,53.5
2020/8/1,20859,1.4,40.2,1.1,22.7,30.1,29,14.7,0.7,0.7,0.3,43.7
2020/9/1,16311,1.3,40.5,1,23.7,33.8,25.5,15.6,1,0.9,0.9,42.8
2020/10/1,73052,1.7,44.1,1.1,22.1,15.7,30.7,63.6,3.8,0.6,0.7,25
2020/11/1,177654,2,43.5,1.1,19.9,12.2,37.1,75.3,3,0.6,1,19.7
2020/12/1,223906,2.1,41.9,1.1,23.1,12.2,36.7,74.6,2.7,0.5,1.1,22.7
2021/1/1,162808,1.9,43.2,1.1,22.7,14.1,36.8,75.6,2.7,0.9,1.1,16.5
2021/2/1,228760,2,43.2,1.1,23.4,10.7,43.6,81,2.8,1.1,1.1,15.1
2021/3/1,429279,2.3,43.4,1.1,26,9.6,49.4,84.8,2.6,0.7,1,13.2
2021/4/1,471336,2.2,43.8,1.1,27.3,9.3,50.2,84.5,3.5,0.9,1,12
2021/5/1,612457,2.1,42.5,1.1,32.5,9.3,52,83.3,4.4,1.4,1.1,12.3
2021/6/1,769178,2.4,43.5,1.1,30.6,9.6,53.9,85.4,3.8,0.9,0.8,11.4
2021/7/1,851450,2.5,44,1.1,30.4,9.3,55.6,86.4,3.3,0.9,0.8,11.1
2021/8/1,692305,2.3,43.3,1.1,32.5,8.9,55.6,83.7,4.7,1.4,1,10.2
2021/9/1,484306,2,43.7,1.1,34.3,9,52.1,79.2,6.8,1.9,1.1,11.7
2021/10/1,521690,2,45.5,1.1,29.7,9,51,79.5,5.9,3.2,1.1,11.9
2021/11/1,565868,2.1,45.7,1.1,25.5,9.1,52.3,81.8,3.9,2.6,1.1,12.6
2021/12/1,675922,2.3,45.1,1.2,25,9.8,51.1,81.9,2.7,1.2,1.1,15.4
2022/1/1,510460,2,46.4,1.2,26,10.6,50.1,80.2,3,5.2,1.2,11.5
2022/2/1,563519,2.1,45.9,1.1,26.2,9,52.5,82.5,3,3.5,1.2,12.2
2022/3/1,686038,2.2,45,1.1,27.7,8.6,54.2,82.9,2.5,3.5,1,11.4
