"Indicator","Market","Destination","Units","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Visitor arrivals","Air total, domestic","Oahu","persons","2,900,485","2,573,476","2,421,638","2,258,534","2,284,181","2,216,896","2,227,349","2,173,316","2,222,551","2,347,040","2,485,058","2,379,285","2,423,169","2,415,386","2,612,029","2,808,467","2,891,187","2,950,383","2,554,895","2,446,800","2,532,366","2,592,015","2,734,643","2,732,456","2,779,642","2,868,750","2,913,562","3,009,467","3,217,740","3,513,070","998,149","3,251,685"
"Visitor arrivals","Air total, domestic","Kauai","persons","1,034,541","964,343","689,876","423,949","701,573","754,625","790,506","820,380","881,571","929,657","884,408","839,368","849,913","861,580","906,105","988,304","1,089,587","1,183,490","940,777","856,600","870,746","914,423","977,820","987,818","988,312","1,028,294","1,050,577","1,125,560","1,209,338","1,211,260","295,843","807,487"
"Visitor arrivals","Air total, domestic","Maui Island","persons","1,774,265","1,653,829","1,708,758","1,651,899","1,763,417","1,712,112","1,679,827","1,734,239","1,725,134","1,813,488","1,783,820","1,640,960","1,725,051","1,852,144","1,895,582","2,040,855","2,153,804","2,172,682","1,804,989","1,651,970","1,790,588","1,831,088","1,914,706","1,921,363","1,977,718","2,083,999","2,171,914","2,269,120","2,432,854","2,609,798","693,197","2,259,515"
"Visitor arrivals","Air total, domestic","Molokai","persons","86,579","76,947","98,310","78,444","68,582","71,071","66,691","65,454","62,563","59,685","55,572","52,312","53,152","70,624","57,987","58,515","60,860","65,197","51,016","41,077","41,055","43,865","41,740","42,663","47,737","49,843","44,203","41,560","42,441","44,304","12,999","25,496"
"Visitor arrivals","Air total, domestic","Lanai","persons","38,435","47,615","69,075","61,122","69,974","81,173","83,330","87,691","82,385","80,434","76,392","72,785","64,433","72,674","63,172","65,013","72,216","81,160","66,068","52,541","57,031","61,848","58,877","58,334","54,852","44,334","49,299","48,021","54,310","58,799","15,489","47,215"
"Visitor arrivals","Air total, domestic","Hilo","persons","307,704","266,040","300,884","266,658","264,384","262,922","263,359","275,471","292,847","298,094","272,966","286,162","318,422","335,283","344,992","433,153","512,022","563,663","366,896","331,108","339,777","345,372","361,420","357,282","373,932","389,408","396,360","450,722","424,720","438,107","124,360","291,621"
"Visitor arrivals","Air total, domestic","Kona","persons","809,837","768,672","763,723","735,664","729,025","709,232","734,090","759,523","809,424","815,881","809,865","756,000","756,541","740,726","825,830","1,011,978","1,116,586","1,121,428","879,362","816,907","842,271","887,463","931,250","913,854","939,176","1,003,389","1,035,424","1,122,659","1,134,813","1,205,698","352,568","1,055,308"
"Visitor days","Air total, domestic","Oahu","days","","","","","","","","","15,521,824","16,700,476","18,734,116","18,364,796","19,418,478","17,947,150","19,732,132","21,292,226","21,556,960","21,656,138","19,769,002","19,377,300","20,687,772","20,837,078","21,872,182","20,833,992","20,574,532","21,038,028","21,064,064","21,321,308","23,091,398","24,762,012","9,442,818","25,900,966"
"Visitor days","Air total, domestic","Kauai","days","","","","","","","","","5,579,328","6,051,447","5,948,925","5,600,916","5,834,708","5,984,473","6,405,086","6,762,313","7,202,566","7,691,087","6,913,451","6,512,716","6,782,414","7,129,053","7,625,463","7,916,581","7,929,767","8,183,081","8,328,189","8,838,765","9,432,106","9,293,547","2,719,315","6,943,945"
"Visitor days","Air total, domestic","Maui Island","days","","","","","","","","","12,290,041","13,048,893","13,109,115","12,165,308","13,169,691","13,948,534","14,593,693","15,616,562","16,214,912","16,179,556","14,454,539","13,385,473","14,702,450","15,064,899","15,730,209","16,306,256","16,899,276","17,552,378","18,067,414","18,662,476","19,982,474","20,929,572","6,635,859","19,403,110"
"Visitor days","Air total, domestic","Molokai","days","","","","","","","","","335,777","302,727","306,466","263,230","290,735","286,756","271,239","279,300","290,789","320,391","264,910","217,484","226,817","229,049","227,900","232,761","250,596","255,188","244,177","235,815","249,429","252,394","108,795","182,090"
"Visitor days","Air total, domestic","Lanai","days","","","","","","","","","369,164","331,751","373,949","365,654","316,996","265,565","218,537","211,126","253,444","295,586","259,180","205,400","227,609","239,165","232,068","230,593","200,001","141,047","194,987","192,496","221,423","232,060","78,047","233,076"
"Visitor days","Air total, domestic","Hilo","days","","","","","","","","","1,349,745","1,328,522","1,260,327","1,271,175","1,372,966","1,386,175","1,428,858","1,672,089","1,832,907","1,920,744","1,542,932","1,427,706","1,514,662","1,574,458","1,684,023","1,767,562","1,861,246","1,892,997","1,942,628","2,177,027","2,074,169","2,001,647","894,781","1,759,958"
"Visitor days","Air total, domestic","Kona","days","","","","","","","","","5,459,097","5,305,433","5,446,688","5,077,721","5,369,654","5,218,439","5,792,220","6,871,052","7,232,470","7,036,940","6,293,338","5,995,257","6,293,504","6,766,097","7,120,836","7,174,972","7,427,262","7,886,915","7,969,235","8,531,648","8,681,897","9,063,850","3,515,602","9,047,670"
"Daily census","Air total, domestic","Oahu","persons","","","","","","","","","42,526","45,755","51,186","50,315","53,201","49,170","53,913","58,335","59,060","59,332","54,014","53,088","56,679","57,088","59,760","57,079","56,369","57,638","57,552","58,415","63,264","67,841","25,800","70,962"
"Daily census","Air total, domestic","Kauai","persons","","","","","","","","","15,286","16,579","16,254","15,345","15,986","16,396","17,500","18,527","19,733","21,071","18,889","17,843","18,582","19,532","20,835","21,689","21,725","22,419","22,755","24,216","25,841","25,462","7,430","19,025"
"Daily census","Air total, domestic","Maui Island","persons","","","","","","","","","33,671","35,750","35,817","33,330","36,081","38,215","39,873","42,785","44,424","44,328","39,493","36,673","40,281","41,274","42,979","44,675","46,299","48,089","49,365","51,130","54,747","57,341","18,131","53,159"
"Daily census","Air total, domestic","Molokai","persons","","","","","","","","","920","829","837","721","797","786","741","765","797","878","724","596","621","628","623","638","687","699","667","646","683","691","297","499"
"Daily census","Air total, domestic","Lanai","persons","","","","","","","","","1,011","909","1,022","1,002","868","728","597","578","694","810","708","563","624","655","634","632","548","386","533","527","607","636","213","639"
"Daily census","Air total, domestic","Hilo","persons","","","","","","","","","3,698","3,640","3,444","3,483","3,762","3,798","3,904","4,581","5,022","5,262","4,216","3,912","4,150","4,314","4,601","4,843","5,099","5,186","5,308","5,964","5,683","5,484","2,445","4,822"
"Daily census","Air total, domestic","Kona","persons","","","","","","","","","14,956","14,535","14,882","13,912","14,711","14,297","15,826","18,825","19,815","19,279","17,195","16,425","17,242","18,537","19,456","19,657","20,349","21,608","21,774","23,374","23,786","24,832","9,605","24,788"
"Length of stay","Air total, domestic","Oahu","days","","","","","","","","","6.98","7.12","7.54","7.72","8.01","7.43","7.55","7.58","7.46","7.34","7.74","7.92","8.17","8.04","8.00","7.62","7.40","7.33","7.23","7.08","7.18","7.05","9.46","7.97"
"Length of stay","Air total, domestic","Kauai","days","","","","","","","","","6.33","6.51","6.73","6.67","6.87","6.95","7.07","6.84","6.61","6.50","7.35","7.60","7.79","7.80","7.80","8.01","8.02","7.96","7.93","7.85","7.80","7.67","9.19","8.60"
"Length of stay","Air total, domestic","Maui Island","days","","","","","","","","","7.12","7.20","7.35","7.41","7.63","7.53","7.70","7.65","7.53","7.45","8.01","8.10","8.21","8.23","8.22","8.49","8.54","8.42","8.32","8.22","8.21","8.02","9.57","8.59"
